party,score
ไทยทรัพย์ทวี,3
เพื่อชาติไทย,2
ใหม่,1
มิติใหม่,1
รวมใจไทย,0
รวมไทยสร้างชาติ,13
พลวัต,1
ประชาธิปไตยใหม่,0
เพื่อไทย,78
ทางเลือกใหม่,1
เศรษฐกิจ,6
เสรีรวมไทย,3
รวมพลังประชาชน,2
ท้องที่ไทย,0
อนาคตไทย,0
พลังเพื่อไทย,1
ไทยชนะ,0
พลังสังคมใหม่,0
สังคมประชาธิปไตยไทย,0
ฟิวชัน,0
ไทรวมพลัง,0
ก้าวอิสระ,0
ปวงชนไทย,0
วิชชั่นใหม่,0
เพื่อชีวิตใหม่,0
คลองไทย,0
ประชาธิปัตย์,33
ไทยก้าวหน้า,0
ไทยภักดี,5
แรงงานสร้างชาติ,0
ประชากรไทย,0
ครูไทยเพื่อประชาชน,1
ประชาชาติ,0
สร้างอนาคตไทย,0
รักชาติ,0
ไทยพร้อม,0
ภูมิใจไทย,77
พลังธรรมใหม่,1
กรีน,0
ไทยธรรม,0
แผ่นดินธรรม,0
กล้าธรรม,0
พลังประชารัฐ,0
โอกาสใหม่,0
เป็นธรรม,0
ประชาชน,190
ประชาไทย,0
ไทยสร้างไทย,9
ไทยก้าวใหม่,2
ประชาอาสาชาติ,0
พร้อม,0
เครือข่ายชาวนาแห่งประเทศไทย,0
ไทยพิทักษ์ธรรม,0
ความหวังใหม่,0
ไทยรวมไทย,0
เพื่อบ้านเมือง,0
พลังไทยรักชาติ,0
